,coeff_Ch5,coeff_Ch6,coeff_gACH,coeff_gDA
_intercept,0.0854124311492799,-0.13285473887993857,-0.049072568209873955,-0.10153101664066166
cpn_-20,0.033437943883401634,-0.06908043605524052,-0.03136068311897558,-0.06413225364564926
cpn_-19,0.02282925930116762,-0.044940798016992925,-0.011722334886478263,-0.05532144242381911
cpn_-18,0.0029578300258448695,-0.034434913225618785,-0.00017706761652078705,-0.0547813102646996
cpn_-17,-0.05085982266707377,-0.01944668181041972,-0.0215526278187051,-0.06352100162860988
cpn_-16,-0.09604005865445771,-0.03676964062817756,-0.07984993560585218,-0.06678181617178526
cpn_-15,-0.1251542068918945,-0.025579629613011363,-0.13452546660446263,-0.06336564551940872
cpn_-14,-0.13473768509088446,-0.018567427741721886,-0.1718794051251745,-0.07713261419409131
cpn_-13,-0.14424235423990048,-0.02101456380888006,-0.1743751329502121,-0.08535222183678444
cpn_-12,-0.13122832773192458,0.013988699885680175,-0.15759555202536418,-0.10320920625156817
cpn_-11,-0.1461577860108407,-0.0036336008820358947,-0.14112535207247537,-0.11357333809967907
cpn_-10,-0.15706649424758487,0.018660797072939956,-0.10561433889462254,-0.12714142934220654
cpn_-09,-0.1507846939194845,0.0064903309364864464,-0.06360735820331916,-0.14900644466274063
cpn_-08,-0.16982735393786313,0.026275668603118276,-0.030281888138114808,-0.15386611781426218
cpn_-07,-0.17427765181023422,0.04446076888449925,-0.00030047742187357986,-0.15923025366960097
cpn_-06,-0.19026050456323207,0.06774396876919739,0.01953589841922696,-0.17077281467660094
cpn_-05,-0.19896550926094927,0.04439685518193256,0.01439935659635334,-0.22436395014441216
cpn_-04,-0.20623549726349397,0.02351562819140072,0.013064103347002951,-0.29066678704670257
cpn_-03,-0.16999562571015792,-0.028419350974281173,0.0249021860400283,-0.34487099151283396
cpn_-02,-0.08576567688719233,-0.07017345457420246,0.054650120433029484,-0.4257693213106242
cpn_-01,0.08146116426203048,-0.11670301289692753,0.08632773894621476,-0.44658798837748526
cpn_000,0.38060167093664427,-0.0978101003618778,0.22589317808421294,-0.3357857247924085
cpn_001,0.5509316523247471,-0.018781486509568235,0.37828390582756366,-0.08121277669760385
cpn_002,0.45380444433008355,0.054435291570620395,0.3627549404158912,0.1318374630011258
cpn_003,0.2458381664642584,0.10717621625628873,0.2838144011552435,0.22823789175008694
cpn_004,0.06789602259268956,0.127301323363213,0.18406129940412858,0.21954483684122106
cpn_005,-0.030132726756429543,0.12544134111267072,0.11561173101216887,0.21355604728522265
cpn_006,-0.07777942985997821,0.12731576928063099,0.08706159837973204,0.2131374464609302
cpn_007,-0.13870959681029219,0.11951596920548704,0.021378012942753256,0.21341075151193073
cpn_008,-0.18035938448013364,0.06384767710736167,-0.11733890946624581,0.1264309786677683
cpn_009,-0.18873254845175297,0.007789816651103324,-0.2330756983218,-0.017598185045785517
cpn_010,-0.12386163230227351,-0.07279038137311045,-0.3206323503004042,-0.13613104624096717
cpn_011,-0.02930105638299755,-0.13882724920806744,-0.34259188295117965,-0.20449107689405352
cpn_012,0.04616729210295501,-0.1437629406461375,-0.297309236562579,-0.1837480085040475
cpn_013,0.08735373674825736,-0.1571049887521087,-0.25488887181472697,-0.1348764801715243
cpn_014,0.09195730940910186,-0.15538989774541548,-0.23308487266453032,-0.10004191227027592
cpn_015,0.07590290059291199,-0.14866958576701442,-0.21544338160002255,-0.07769095065721016
cpn_016,0.08023677025892818,-0.15035341297577215,-0.20039111651151836,-0.06117448338371646
cpn_017,0.09842954971260343,-0.13321577666887324,-0.16433119147353759,-0.02473281125571916
cpn_018,0.11600854553809382,-0.10785722841001824,-0.10802445164092886,-0.008913923961722435
cpn_019,0.09922892408285243,-0.0869499688265409,-0.0590967229156376,-0.007022265429729849
cpn_020,0.05824279710570213,-0.03648635369621814,-0.02631487597900465,-0.011811000569267288
cpx_-20,-0.0019971053579371113,-0.02491024497083051,-0.03222913380477242,-0.03406077953823525
cpx_-19,0.004639461160354656,-0.06304772644548186,-0.05024948983697328,-0.04474073342648908
cpx_-18,0.03465447700932789,-0.08551474042466987,-0.011256205432116258,-0.04091065856034143
cpx_-17,0.05711790590545747,-0.08292999209115066,0.0420680001993934,-0.04805352353017296
cpx_-16,0.09570967652306496,-0.0915651891842334,0.08989361689600504,-0.05422253066218982
cpx_-15,0.11313034071226674,-0.10341251594624525,0.12221891099442964,-0.045916597874012
cpx_-14,0.11809056924683839,-0.11497895175934894,0.12112435998737235,-0.020610296491085568
cpx_-13,0.11757555933366581,-0.13055786533169064,0.09330399449772238,0.011808093449898041
cpx_-12,0.11064246812636684,-0.1267272528710679,0.05869100742923039,0.0381610254215182
cpx_-11,0.1258234319953846,-0.14511514361493288,0.014006893144010052,0.039060195185434333
cpx_-10,0.12232749095986736,-0.14349031567872944,-0.032622699267547156,0.058501474843742074
cpx_-09,0.11035047406538799,-0.1328210456548609,-0.07408714333113484,0.06695660435876175
cpx_-08,0.08053428492761908,-0.12241925989172793,-0.09067631074871217,0.07114875873599641
cpx_-07,0.07425322853208262,-0.14433977845220505,-0.08940903257366264,0.054369486989224516
cpx_-06,0.053855604827418725,-0.13383637740165946,-0.066528952243753,0.06264260180141897
cpx_-05,0.03174095184782478,-0.13548080296225765,-0.0410067698293619,0.0866496053030579
cpx_-04,0.017116691898736075,-0.11814447164507286,-0.04846295189677237,0.08008055063564642
cpx_-03,-0.007797090370764093,-0.11901075950331388,-0.0799335773635411,0.04482383943897955
cpx_-02,-0.03747251507973981,-0.18065189315136831,-0.1567147169233011,-0.014498809113875508
cpx_-01,-0.0938943619275634,-0.2236328191519977,-0.22626141740243344,-0.03618672803127724
cpx_000,-0.18465974897046364,-0.2297089842101323,-0.3172646448758503,-0.07501285208610145
cpx_001,-0.29240882434095455,-0.24523701794168962,-0.392338609681816,-0.1327200660489631
cpx_002,-0.32519643260421605,-0.24380710176871503,-0.3902151756829039,-0.18916363494751384
cpx_003,-0.21112591101400577,-0.2531885188869049,-0.32728144482183563,-0.26020997016386826
cpx_004,0.0015884910548693426,-0.260972377383126,-0.16025223625796556,-0.2755052115624985
cpx_005,0.22137947401121766,-0.25751861431317696,0.009492024600525693,-0.1951123276508662
cpx_006,0.364561562235511,-0.2301038710055847,0.11905527212327946,-0.07857256224892888
cpx_007,0.3687255126930784,-0.15921797515420005,0.21546609440155745,0.0226965753015582
cpx_008,0.30448691390978777,-0.1409504764464519,0.26119383974658245,0.046877164190471374
cpx_009,0.2114854330671912,-0.10946427451034683,0.25908932882962843,0.02641956913096606
cpx_010,0.12113366008505182,-0.07285866729940459,0.2278960049650677,0.008318652044386449
cpx_011,0.08422429359607203,-0.05162837451232626,0.2144240584585993,-0.008026377840835264
cpx_012,0.052437049649057335,-0.022518372518986286,0.22377658591799318,-0.008303747683178486
cpx_013,0.011261741862385839,0.016312517199759263,0.21603833735905095,-2.7837456972185093e-05
cpx_014,0.003950423709115282,0.029623452717355257,0.21254685895640818,-0.005637715315219033
cpx_015,-0.022454978037447237,0.029303609133462947,0.17695264262007498,-0.032106260779931006
cpx_016,-0.020452075236230438,-0.007320107270577865,0.14875541339465043,-0.0630093545341679
cpx_017,-0.029747206473999643,-0.030513476578058217,0.06524978534087701,-0.08163859304264842
cpx_018,-0.024502430317931964,-0.057850312074150874,-0.003624144500306327,-0.09209425629019302
cpx_019,0.004761741377669202,-0.09680376055286932,-0.047422956319019965,-0.10084302624543245
cpx_020,0.04530522924610389,-0.12714502938071198,-0.0573526786956512,-0.14697394180416787
spnnr_-20,-0.018896490755139675,-0.061319464181269316,0.003087516577462899,-0.09763998310391596
spnnr_-19,0.006294700442992926,-0.07944015131462996,0.009848223848564633,-0.07452623798659262
spnnr_-18,0.012088134853813028,-0.06679967722806365,-0.007553844405772793,-0.0580503586821348
spnnr_-17,0.00555131305283814,-0.07358919610322788,-0.005314112355478632,-0.03297631569247435
spnnr_-16,0.02034865207856928,-0.09698857553462412,0.012162031145657172,0.04594254742231298
spnnr_-15,0.025522517531192224,-0.09709891162895584,0.06974251980234301,0.14463522703293097
spnnr_-14,0.029579199822871927,-0.0626749350811754,0.12291274303667932,0.2169296838931148
spnnr_-13,0.038091145781198765,0.008681742852502795,0.17879380223548613,0.332104677348389
spnnr_-12,0.016364920938446617,0.09355039825700072,0.229885439556039,0.4107967003928901
spnnr_-11,-0.03307070530391651,0.11894518165016785,0.21233703635887616,0.4298052379781479
spnnr_-10,-0.10509058610037994,0.12472830299529838,0.1650849972672763,0.3999976852976879
spnnr_-09,-0.19808734698207012,0.11383762568596936,0.037556408999120466,0.3617071722232834
spnnr_-08,-0.2806973954076059,0.0874973948206744,-0.06692966695981649,0.3080073147063477
spnnr_-07,-0.38031413006805603,0.07658015316655134,-0.21039137256672688,0.27731128608695865
spnnr_-06,-0.4444457943350256,0.11296228562060433,-0.2688796006046706,0.33042223111244057
spnnr_-05,-0.5384698985031258,0.1570562724135039,-0.29465517792032353,0.3923276984107773
spnnr_-04,-0.5450155335605831,0.23762598101423596,-0.16024456262497905,0.43395364144793636
spnnr_-03,-0.48405584299472687,0.2755892310590182,-0.09101933456915695,0.4282294997678393
spnnr_-02,-0.23825480261774987,0.2337623307204475,0.0003728722315188473,0.26218540642239624
spnnr_-01,0.15037508056425733,0.16030197933720047,0.13241800390677036,0.033132976027401145
spnnr_000,0.5901069108789144,0.10654676440763139,0.4486147916840141,-0.12816196812340813
spnnr_001,0.6094864653335064,0.10544364237351159,0.5832975197342342,-0.0850913585838683
spnnr_002,0.21934944038769844,0.14497099084165957,0.46542996161206995,0.02596387089538092
spnnr_003,-0.24832529635281667,0.08792155928586856,0.15947967785451375,-0.07023364174788807
spnnr_004,-0.49482361265769825,-0.07025252566887333,-0.07878845393336328,-0.3394761000113041
spnnr_005,-0.4723016853521711,-0.20340480519831608,-0.1699135150629263,-0.5474009633035876
spnnr_006,-0.2534037382159528,-0.28035273754838996,-0.09426588761553235,-0.5910773781140337
spnnr_007,0.032796856670567316,-0.3014674384757814,0.12615039964774624,-0.5508380042060432
spnnr_008,0.15653911799511605,-0.3484286088587936,0.19110751287529784,-0.49412974792074227
spnnr_009,0.2222844660852569,-0.3442309449411125,0.1655015047847844,-0.4606812006236514
spnnr_010,0.2296891682752449,-0.3456334397278508,0.11027289748084353,-0.456761753483474
spnnr_011,0.24407652176284952,-0.31835698668821377,0.08884970551165855,-0.4148687922759097
spnnr_012,0.23694717838160617,-0.31745196971108286,0.06327476550531003,-0.3414856416368579
spnnr_013,0.21479625636932964,-0.2725767312879975,0.0645573089292511,-0.296369513833237
spnnr_014,0.1920999796665902,-0.25326976494143255,0.08993298768972671,-0.2627258805874877
spnnr_015,0.15397209142257773,-0.20227754800549264,0.10167989189040953,-0.21145598913122834
spnnr_016,0.10353508455315011,-0.1669875100549518,0.1027323988264959,-0.18466469360502147
spnnr_017,0.02630810793004818,-0.10868063336365667,0.07391435825407869,-0.16364276407364028
spnnr_018,-0.032865411183290366,-0.08669812717653247,0.03974053026710966,-0.1518327324406315
spnnr_019,-0.08059940962549555,-0.04826817343969082,-0.008207048254319562,-0.13390708439708957
spnnr_020,-0.13370228873447376,-0.02641177415596989,-0.07799487658385726,-0.08820326369275164
spxnr_-20,0.07028394139480207,0.04930250167523162,0.0676281237552574,0.02023162761609603
spxnr_-19,0.06547257919033737,0.06693388504022553,0.07514827267728427,0.009186266199778834
spxnr_-18,0.04601448313951683,0.1058060108745663,0.07774004105577718,0.010712544410585898
spxnr_-17,0.019445534882466663,0.10004147365721829,0.06497752840970297,-0.005007104975932958
spxnr_-16,0.006896793416003007,0.13025454216383822,0.08014466039679838,-0.036295614326485884
spxnr_-15,0.00013842867214162785,0.1266958192057559,0.07269510271980216,-0.07486194361260237
spxnr_-14,-0.007570176515138888,0.1000816943084854,0.051846626217808375,-0.09360233697298427
spxnr_-13,-0.007844583889100292,0.07994034986086677,-0.014134194812627055,-0.13915094610833034
spxnr_-12,0.0006801938693889401,0.02892438628008561,-0.0726194547651313,-0.1953543712556815
